zip,ZCTA,total,rural,distance_from_shands,median_income,perc_below_poverty,prop_black,prop_hisp
757,757,23114,0,1289.887798,16344,50.8,0.074976205,0.999221251
647,647,5245,0,1264.339503,13668,54.9,0.028979981,0.998665396
653,653,13427,0,1264.934963,13596,68.2,0.035227527,0.993297088
714,714,19229,0,1306.540907,15901,51.6,0.256539602,0.997399761
704,704,8100,0,1299.066251,12341,56.3,0.069012346,0.98654321
751,751,23020,0,1295.893047,14236,59.5,0.074891399,0.991007819
784,784,43251,0,1303.114132,17048,49.7,0.132574969,0.997896002
785,784,43251,0,1303.114132,17048,49.7,0.132574969,0.997896002
624,624,24902,0,1270.491898,15467,60,0.027748775,0.991526785
716,716,31362,0,1279.264083,18609,48.4,0.060232128,0.995759199
717,717,18176,0,1278.334029,11692,61.2,0.046875,0.992132482
723,723,18766,0,1307.00846,14343,56.5,0.180485985,0.998134925
707,707,11904,0,1312.50694,17866,56.3,0.291666667,0.998823925
715,715,3714,0,1281.060751,13534,65.3,0.194668821,0.991114701
728,728,42333,0,1276.039601,17689,51.4,0.040653863,0.993881842
733,730,36201,0,1277.314251,15459,53.2,0.06488771,0.992237783
730,730,36201,0,1277.314251,15459,53.2,0.06488771,0.992237783
734,730,36201,0,1277.314251,15459,53.2,0.06488771,0.992237783
732,730,36201,0,1277.314251,15459,53.2,0.06488771,0.992237783
656,656,20839,0,1268.061773,15440,54.3,0.027640482,0.997504679
698,698,40276,0,1263.704643,15414,52,0.027435694,0.993420399
622,622,6589,0,1251.555329,14993,60.5,0.015025042,0.986492639
667,667,25510,0,1256.899248,13527,60,0.025049,0.996746374
780,780,13678,0,1278.025784,22197,37.7,0.030194473,0.998391578
795,795,47106,0,1282.27983,18890,50.4,0.100326922,0.996730777
767,767,36962,0,1310.527976,16664,51.7,0.12878091,0.995563011
637,637,24799,0,1258.847047,14977,50.8,0.032944877,0.989636679
769,769,39871,0,1286.648277,18053,49.6,0.078352687,0.997792882
623,623,44117,0,1248.375546,17044,49.5,0.032096471,0.997755967
683,683,33050,0,1253.246742,15030,48.1,0.028472012,0.994583964
731,731,14320,0,1275.049747,15894,54.4,0.026396648,0.997346369
737,736,51116,0,1295.969841,21023,42.3,0.032768605,0.9950896
736,736,51116,0,1295.969841,21023,42.3,0.032768605,0.9950896
766,766,25549,0,1279.176853,17210,54.2,0.031155818,0.995537986
705,705,25090,0,1289.697449,16744,49.5,0.073535273,0.997728179
660,660,17023,0,1247.425212,21323,35.8,0.032779181,0.990953416
791,791,51757,0,1310.879959,20357,43.1,0.0752362,0.989373418
