med_display_name,rxnorm_concat,med_dose_unit_desc,ingredient_concept_id,variable_name
quinapril-hydrochlorothiazide (ACCURETIC) 20-12.5 MG per tablet 2 Tablet,| 310797 |,tablet,1331235,aceis_arbs
Lipitor 80 mg tablet (BRAND),| 259255 |,mg,1545958,aceis_arbs
rosuvastatin (CRESTOR) tablet 40 mg,| 859419 |,mg,1510813,aceis_arbs
triamterene-hydrochlorothiazide (DYAZIDE) 37.5-25 MG each 1 Each,| 198316 |,capsule,974166,aceis_arbs
valsartan (DIOVAN) tablet 160 mg,| 349199 |,mg,1308842,aceis_arbs
triamterene-hydroCHLOROthiazide (DYAZIDE) 37.5-25 MG 1 capsule,| 198316 |,tablet,904542,aceis_arbs
bumetanide 10 mg in 0.9 % NaCl 100 mL infusion,| 282486 | 313002 |,ml/hr,932745,aceis_arbs
furosemide (LASIX) injection 0-30 mg,| 727575 |,mg,956874,aceis_arbs
sacubitril-valsartan (ENTRESTO) 49-51 MG tablet - TWO TABLETS,| 1656349 |,tablet,1308842,aceis_arbs
enalaprilat (VASOTEC) 1.25 MG/ML injection 0.625-2.5 mg,| 3829 |,mg,1342001,aceis_arbs
chlorothiazide (DIURIL) 417.2 mg in sterile water 14.9 mL iv,| 107129 | 484152 |,mg,992590,aceis_arbs
bumetanide (BUMEX) 20 mg in 0.9 % NaCl 100 mL IVPB,| 282486 | 313002 |,ml/hr,932745,aceis_arbs
chlorothiazide (DIURIL) 224 mg in sterile water 8 mL IV,| 107129 | 484152 |,mg,992590,aceis_arbs
quinapril-hydroCHLOROthiazide (ACCURETIC) 20-12.5 MG per tablet 1 tablet,| 310797 |,tablet,974166,aceis_arbs
chlorothiazide (DIURIL) 184.8 mg in sterile water 6.6 mL iv,| 107129 | 484152 |,mg,992590,aceis_arbs
enalapril (VASOTEC) oral liquid 15 mg,| 858804 |,mg,1341927,aceis_arbs
bumetanide (BUMEX) 5 mg in 0.9 % NaCl 100 mL IVPB,| 282486 | 313002 |,ml/hr,932745,aceis_arbs
Inv enalapril or placebo 2.5 mg tablet,| 858804 |,mg,1341927,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 10 mg, hydrochlorothiazide (MICROZIDE) 12.5 mg combination",| 199903 | 314076 |,each,1308216,aceis_arbs
spironolactone (ALDACTONE) 10 MG/ML oral liquid 50 mg,| 198222 |,mg,970250,aceis_arbs
captopril (CAPOTEN) tablet 100 mg,| 308962 |,mg,1340128,aceis_arbs
hydrochlorothiazide (MICROZIDE) capsule 50 mg,| 199903 |,mg,974166,aceis_arbs
Azilsartan-Chlorthalidone 40-25 MG TABS 1 Tablet,| 1235151 |,tablet,1395058,aceis_arbs
bumetanide (BUMEX) injection 3 mg,| 282486 |,mg,932745,aceis_arbs
nebivolol (BYSTOLIC) TABS 5 mg,| 751618 |,mg,1314577,aceis_arbs
furosemide (LASIX) 20 MG/2 ML injection 20 mg,| 727575 |,mg,956874,aceis_arbs
"furosemide (LASIX) 1,000 mg in 100 mL **High Conc** Infusion",| 727575 |,mg/hr,956874,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet 17.5 mg",| 311353 | 311354 | 314076 |,mg,1308216,aceis_arbs
losartan (COZAAR) tablet 62.5 mg,| 979485 | 979492 |,mg,1367500,aceis_arbs
enalaprilat (VASOTEC) 1.25 MG/ML injection 1.25-2.5 mg,| 3829 |,mg,1342001,aceis_arbs
hydroCHLOROthiazide (HYDRODIURIL) oral liquid 12.5 mg,| 197770 |,mg,974166,aceis_arbs
enalaprilat (VASOTEC) 1.25 MG/ML injection 0.625-1.25 mg,| 3829 |,mg,1342001,aceis_arbs
*telmisartan-hydroCHLOROthiazide (MICARDIS HCT) 80-25 MG - patient supplied,| 477130 |,tablet,1317640,aceis_arbs
ramipril (ALTACE) capsule 20 mg,| 261962 |,mg,1334456,aceis_arbs
hydroCHLOROthiazide (HYDRODIURIL) tablet 75 mg,| 310798 |,mg,974166,aceis_arbs
sacubitril-valsartan (ENTRESTO) 97-103 MG 1 tablet,| 1656354 |,tablet,1308842,aceis_arbs
*olmesartan-hydroCHLOROthiazide (BENICAR HCT) 20-12.5 MG per tablet -PATIENT SUPPLIED,| 403853 |,tablet,974166,aceis_arbs
chlorthalidone (HYGROTON) tablet 50 mg,| 197499 |,mg,1395058,aceis_arbs
quinapril-hydroCHLOROthiazide (ACCURETIC) 20-25 MG per tablet 1 tablet,| 310809 |,tablet,974166,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 20 mg combination",| 314077 |,mg,1308216,aceis_arbs
losartan (COZAAR) tablet 75 mg,| 979485 | 979492 |,mg,1367500,aceis_arbs
Inv nebivolol 5mg tablet,| 387013 |,mg,1314577,aceis_arbs
furosemide (LASIX) 200 mg in 0.9 % NaCl 50 mL infusion,| 313002 | 727575 |,mg/hr,956874,aceis_arbs
torsemide (DEMADEX) tablet 10 mg,| 198371 |,mg,942350,aceis_arbs
bumetanide (BUMEX) tablet 0.75 mg,| 197417 |,mg,932745,aceis_arbs
aMILoride (MIDAMOR) oral suspension 5 mg,| 977880 |,mg,991382,aceis_arbs
*irbesartan-hydroCHLOROthiazide (AVALIDE) 150-12.5 MG per tablet (PATIENT SUPPLY),| 310792 |,tablet,1347384,aceis_arbs
Inv sacubitril-valsartan (LCZ696 100 mg-ENTRESTO) or placebo 49-51 mg tablet,| 1656349 |,tablet,1308842,aceis_arbs
furosemide (LASIX) injection 33.7 mg,| 727575 |,mg,956874,aceis_arbs
spironolactone (ALDACTONE) tablet 125 mg,| 198222 | 313096 |,mg,970250,aceis_arbs
furosemide (LASIX) 5 mg in 0.9 % NaCl 5 mL IV solution,| 313002 | 727575 |,mg,956874,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet 25 mg",| 314076 | 314077 |,mg,1308216,aceis_arbs
candesartan (ATACAND) tablet 32 mg,| 153823 |,mg,1351557,aceis_arbs
Azilsartan-Chlorthalidone 40-12.5 MG TABS 20 mg,| 1235144 |,mg,1395058,aceis_arbs
atorvastatin (LIPITOR) tablet 20 mg,| 617310 |,mg,1545958,aceis_arbs
benazepril (LOTENSIN) tablet 20 mg,| 898719 |,mg,1335471,aceis_arbs
valsartan (DIOVAN) tablet 320 mg,| 349199 |,mg,1308842,aceis_arbs
furosemide (LASIX) oral solution 5 mg,| 197730 |,mg,956874,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 20 mg, hydroCHLOROthiazide (MICROZIDE) 12.5 mg (COMBO medication)",| 199903 | 314077 |,capsule,974166,aceis_arbs
enalapril (VASOTEC) oral liquid 2.5 mg,| 858804 |,mg,1341927,aceis_arbs
Olmesartan-amLODIPine-HCTZ 40-10-12.5 MG TABS 1 Tablet,| 999986 |,tablet,974166,aceis_arbs
valsartan (DIOVAN) tablet 300 mg,| 349199 | 349201 | 349483 |,mg,1308842,aceis_arbs
Inv aMILoride-hydroCHLOROthiazide 5-50mg tablet,| 977883 |,tablet,991382,aceis_arbs
furosemide (LASIX) oral solution 30 mg,| 197730 |,mg,956874,aceis_arbs
torsemide (DEMADEX) tablet 30 mg,| 198371 | 198372 |,mg,942350,aceis_arbs
amiloride (MIDAMOR) tablet 12.5 mg,| 977880 |,mg,991382,aceis_arbs
lisinopril (ZESTRIL) tablet 40 mg,| 314076 |,mg,1308216,aceis_arbs
atorvastatin (LIPITOR) oral liquid 60 mg,| 617312 |,mg,1545958,aceis_arbs
"furosemide (LASIX) 10 mg, furosemide (LASIX) 40 mg",| 310429 | 313988 |,mg,956874,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 20 mg, hydrochlorothiazide (MICROZIDE) 12.5 mg (COMBO medication)",| 199903 | 314077 |,tablet,974166,aceis_arbs
torsemide (DEMADEX) tablet 30 mg,| 198369 |,mg,942350,aceis_arbs
furosemide (LASIX) 200 mg in 0.9 % NaCl 50 mL IVPB,| 313002 | 727575 |,mg,956874,aceis_arbs
irbesartan-hydroCHLOROthiazide (AVALIDE) 150-12.5 MG per tablet 1 tablet,| 310792 |,tablet,974166,aceis_arbs
furosemide (LASIX) 500 mg in 0.9 % NaCl 250 mL infusion,| 313002 | 727575 |,mg/hr,956874,aceis_arbs
furosemide (LASIX) injection 36.8 mg,| 727575 |,mg,956874,aceis_arbs
furosemide (LASIX) injection 45 mg,| 727575 |,mg,956874,aceis_arbs
chlorothiazide (DIURIL) suspension 250 mg,| 309198 |,mg,992590,aceis_arbs
furosemide (LASIX) 20 MG/2 ML oral liquid 40 mg,| 197730 |,mg,956874,aceis_arbs
bisoprolol-hydroCHLOROthiazide (ZIAC) 10-6.25 MG per tablet 1 tablet,| 854908 |,tablet,1338005,aceis_arbs
losartan (COZAAR) tablet 25-50 mg,| 979485 |,mg,1367500,aceis_arbs
losartan (COZAAR) tablet 75 mg,| 979485 |,mg,1367500,aceis_arbs
inv lcz696 or placebo (CLCZ696DUS01) 50 mg tablet 1 tablet,| 1656340 |,tablet,1308842,aceis_arbs
nebivolol (BYSTOLIC) TABS 2.5 mg,| 751618 |,mg,1314577,aceis_arbs
furosemide (LASIX) oral solution,| 197730 |,mg,956874,aceis_arbs
spironolactone (ALDACTONE) sugar-free oral liquid 200 mg,| 198222 |,mg,970250,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 20 mg, hydrochlorothiazide (HYDRODIURIL) 25 mg (COMBO medication)",| 310798 | 314077 |,mg,974166,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 20 mg, hydrochlorothiazide (HYDRODIURIL) 25 mg combination",| 310798 | 314077 |,tablet,1308216,aceis_arbs
furosemide (LASIX) injection 90 mg,| 727575 |,mg,956874,aceis_arbs
inv LCZ696/placebo 100 mg and enalapril/placebo 5 mg (PIONEER HF) 2 tablet,| 1656349 |,tablet,1308842,aceis_arbs
inv LCZ696/placebo 200 mg and enalapril/placebo 10 mg (PIONEER HF) 2 tablet,| 1656354 |,tablet,1308842,aceis_arbs
"lisinopril-hydroCHLOROthiazide (PRINZIDE,ZESTORETIC) 20-12.5 MG per tablet 1 tablet",| 197886 |,tablet,1308216,aceis_arbs
valsartan (DIOVAN) tablet 200 mg,| 349199 | 349201 |,mg,1308842,aceis_arbs
enalapril (VASOTEC) tablet 10 mg,| 858813 |,mg,1341927,aceis_arbs
amLODIPine-Valsartan-HCTZ 5-160-25 MG TABS 1 tablet,| 848145 |,tablet,1308842,aceis_arbs
"losartan (COZAAR) 50 mg, hydrochlorothiazide (HYDRODIURIL) 12.5 mg combination",| 429503 | 979492 |,each,974166,aceis_arbs
spironolactone (CAROSPIR) oral suspension 100 mg,| 104232 |,mg,970250,aceis_arbs
enalaprilat (VASOTEC) injection 1.25 mg,| 3829 |,mg,1342001,aceis_arbs
hydroCHLOROthiazide (HYDRODIURIL) tablet 12.5 mg,| 429503 |,mg,974166,aceis_arbs
atorvastatin (LIPITOR) tablet 50 mg,| 617311 | 617312 |,mg,1545958,aceis_arbs
"amlodipine (NORVASC) 10 mg, atorvastatin (LIPITOR) 40 mg (COMBO medication)",| 308135 | 617311 |,tablet,1545958,aceis_arbs
furosemide (LASIX) injection 42.6 mg,| 727575 |,mg,956874,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet 37.5 mg",| 311353 | 311354 | 314076 | 314077 |,mg,1308216,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 20 mg, hydrochlorothiazide (HYDRODIURIL) 25 mg combination",| 310798 | 314077 |,each,1308216,aceis_arbs
quinapril-hydrochlorothiazide (ACCURETIC) 10-12.5 MG per tablet 1 Tablet,| 310796 |,tablet,974166,aceis_arbs
quinapril-hydroCHLOROthiazide (ACCURETIC) 20-12.5 MG per tablet 1 tablet,| 310797 |,tablet,1331235,aceis_arbs
spironolactone (ALDACTONE) tablet 50 mg,| 313096 |,mg,970250,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 10 mg, hydrochlorothiazide (MICROZIDE) 12.5 mg combination",| 199903 | 314076 |,each,974166,aceis_arbs
Sacubitril-Valsartan (ENTRESTO) 12-13 MG,| 1656340 |,tablet,1308842,aceis_arbs
Aliskiren-Valsartan 300-320 MG TABS 1 Tablet,| 1011729 |,tablet,1308842,aceis_arbs
captopril (CAPOTEN) tablet 100 mg,| 308964 |,mg,1340128,aceis_arbs
captopril (CAPOTEN) tablet 50 mg,| 308964 |,mg,1340128,aceis_arbs
spironolactone (ALDACTONE) tablet 200 mg,| 198223 |,mg,970250,aceis_arbs
inv valsartan or placebo (CLCZ696DUS01) 80 mg tablet 1 tablet,| 349483 |,tablet,1308842,aceis_arbs
rosuvastatin (CRESTOR) tablet 2.5 mg,| 859424 |,mg,1510813,aceis_arbs
spironolactone (ALDACTONE) 10 MG/ML oral liquid 25 mg,| 198222 |,mg,970250,aceis_arbs
enalapril (VASOTEC) tablet 25 mg,| 858813 | 858817 |,mg,1341927,aceis_arbs
furosemide (LASIX) injection 49.3 mg,| 727575 |,mg,956874,aceis_arbs
enalapril (VASOTEC) tablet 5 mg,| 858817 |,mg,1341927,aceis_arbs
furosemide (LASIX) tablet 10 mg,| 310429 |,mg,956874,aceis_arbs
captopril (CAPOTEN) tablet 12.5 mg,| 308963 |,mg,1340128,aceis_arbs
"losartan (COZAAR) 50 mg, hydrochlorothiazide (MICROZIDE) 12.5 mg (COMBO medication)",| 199903 | 979492 |,mg,1367500,aceis_arbs
sacubitril-valsartan (ENTRESTO) 24-26 MG tablet 2 tablet,| 1656340 |,tablet,1308842,aceis_arbs
ramipril (ALTACE) capsule 5 mg,| 198188 |,mg,1334456,aceis_arbs
chlorothiazide (DIURIL) 198.8 mg in sterile water 7.1 mL iv,| 107129 | 484152 |,mg,992590,aceis_arbs
INV LCZ696 (PIONEER HF) 100 mg tab 1 tablet,| 349483 |,tablet,1308842,aceis_arbs
chlorthalidone (HYGROTEN) tablet 50 mg,| 197499 |,mg,1395058,aceis_arbs
"valsartan (DIOVAN) 320 mg, hydrochlorothiazide (MICROZIDE) 12.5 mg (COMBO medication)",| 199903 | 349201 |,tablet,974166,aceis_arbs
triamterene-hydroCHLOROthiazide (MAXZIDE) 75-50 MG per tablet 1 tablet,| 310818 |,tablet,904542,aceis_arbs
hydrochlorothiazide (HYDRODIURIL) tablet 100 mg,| 310798 |,mg,974166,aceis_arbs
olmesartan-hydroCHLOROthiazide (BENICAR HCT) 40-25 MG per tablet 1 tablet,| 403855 |,tablet,40226742,aceis_arbs
bumetanide (BUMEX) 6 mg in 0.9 % NaCl 100 mL IVPB,| 282486 | 313002 |,ml/hr,932745,aceis_arbs
hydrochlorothiazide (MICROZIDE) capsule 37.5 mg,| 199903 |,mg,974166,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet",| 311353 |,mg,1308216,aceis_arbs
chlorothiazide (DIURIL) 200 mg in sterile water 7.14 mL IV,| 107129 | 484152 |,mg,992590,aceis_arbs
